input;output;description;hook;Structure
{"NPCs":{"Adrianne Avenicci":{"Name":"Adrianne Avenicci","NamePossessive":"Adrianne Avenicci's","Species":"Human","HomeLocation":"Whiterun Hold","CurrentLocation":"Whiterun Hold","Role":"Blacksmith","Relations":[{"Target":"Dragonborn","Favorability":5}]}},"Locations":{"Whiterun Hold":{"Name":"Whiterun Hold","Enemies":["Wolf","Bandit","Giant"],"Resources":["Iron Ore","Deer Hide","Wolf Pelt"]}},"Enemies":{"Wolf":{"Name":"Wolf","Loot":["Wolf Pelt"],"NamePlural":"Wolves"}},"Player":{"Location":"Whiterun Hold"}};{"Quest":{"Name":"A Howling in the Hills","Giver":"Adrianne Avenicci","Actions":["goto Whiterun Hold","damage Wolf","goto Whiterun Hold","report Adrianne Avenicci"]}};"Adrianne Avenicci's supply lines are being threatened by a pack of unusually aggressive wolves prowling the roads just outside the city walls. She needs someone to thin their numbers.";"Can you believe it? Wolves, this close to the walls! My supplier refuses to make the trip until someone deals with those beasts. You look capable. How about it?";Attack threatening entities
{"NPCs":{"Belethor":{"Name":"Belethor","NamePossessive":"Belethor's","Species":"Human","HomeLocation":"Whiterun Hold","CurrentLocation":"Whiterun Hold","Role":"Merchant","Relations":[{"Target":"Dragonborn","Favorability":5}]},"Brenuin":{"Name":"Brenuin","NamePossessive":"Brenuin's","Species":"Human","HomeLocation":"Whiterun Hold","CurrentLocation":"Whiterun Hold","Role":"Beggar","OwnedItems":{"Ale":1,"Gold Septim":2},"Relations":[{"Target":"Dragonborn","Favorability":5}]}},"Items":{"Silver Ring":{"Type":"Artifact","Name":"Silver Ring","NameSingular":"Silver Ring","IndefiniteArticle":"a"}},"Player":{"NPCRelations":[{"Target":"Belethor","Favorability":5},{"Target":"Brenuin","Favorability":5}]}};{"Quest":{"Name":"The Missing Shipment","Giver":"Belethor","Actions":["steal Silver Ring from Brenuin","goto Whiterun Hold","give Silver Ring to Belethor"]}};"Belethor is furious. A silver ring he had set aside for a special client has vanished. He suspects that good-for-nothing beggar, Brenuin, of 'finding' it. He wants it back, no questions asked.";"Everything's for sale, my friend! Everything! ...Except my personal inventory. Someone's lifted a silver ring right from under my nose. I have a feeling that layabout Brenuin is wearing a bit more finery than usual. Get it back for me, and there's a finder's fee in it for you.";Recover stolen item
{"Factions":{"The Companions":{"Name":"The Companions","NameDefinitive":"the Companions","DefaultLocation":"Whiterun Hold","Relations":[{"Target":"Dragonborn","Favorability":15}],"Members":["Kodlak Whitemane","Aela the Huntress","Farkas","Vilkas","Skjor","Lydia"],"FactionLog":[{"Originator":"The Companions","Type":"GuardEntity","Target":["Whiterun Hold"],"For":"The Companions"}]}},"Locations":{"Whiterun Hold":{"Name":"Whiterun Hold","NameDefinitive":"the Whiterun Hold","Enemies":["Wolf","Bandit","Giant"]}},"Player":{"FactionRelations":[{"Target":"The Companions","Favorability":15}]}};{"Quest":{"Name":"Watch the Walls","Giver":"The Companions","Actions":["goto Whiterun Hold","defend Whiterun Hold"]}};"The Companions have been contracted to bolster Whiterun's guard for a night. There are rumors of a bandit raid, and they need extra eyes on the main gate.";"Whelp, you've shown you can swing a blade. But can you stand a post? We've got a contract to help guard the city tonight. It's boring work, but it pays. Stand by the main gate and make sure nothing ugly gets in.";Guard entity
{"NPCs":{"Jarl Balgruuf":{"Name":"Jarl Balgruuf","NamePossessive":"Jarl Balgruuf's","Species":"Human","HomeLocation":"Whiterun Hold","CurrentLocation":"Whiterun Hold","Role":"Jarl","Relations":[{"Target":"Dragonborn","Favorability":15},{"Target":"The Silver Hand","Favorability":-15}]}},"Factions":{"The Silver Hand":{"Name":"The Silver Hand","NameDefinitive":"the Silver Hand","DefaultLocation":"Markarth Depths","Relations":[{"Target":"Dragonborn","Favorability":-15}]}},"Locations":{"Markarth Depths":{"Name":"Markarth Depths","Enemies":["Falmer","Chaurus","Forsworn"],"Resources":["Iron Ore","Gold Septim"]}},"Player":{"FactionRelations":[{"Target":"The Silver Hand","Favorability":-15}],"NPCRelations":[{"Target":"Jarl Balgruuf","Favorability":15}]}};{"Quest":{"Name":"A Rude Awakening","Giver":"Jarl Balgruuf","Actions":["goto Markarth Depths","damage The Silver Hand"]}};"Jarl Balgruuf has received word that a group of Silver Hand mercenaries are causing trouble near the border of his hold, harassing travelers. He wants you to send them a clear message to stay out of his territory.";"My scouts tell me those Silver Hand brutes are getting bold, pressing into my lands. I don't have the men to spare for a full expedition, but one capable warrior could... discourage them. Break their morale, and they'll think twice about returning.";Attack enemy
{"NPCs":{"Brynjolf":{"Name":"Brynjolf","NamePossessive":"Brynjolf's","Species":"Human","HomeLocation":"Riften Docks","CurrentLocation":"Riften Docks","Faction":"The Thieves Guild","Role":"Thief","Relations":[{"Target":"Dragonborn","Favorability":35}]},"Elenwen":{"Name":"Elenwen","NamePossessive":"Elenwen's","Species":"Elf","HomeLocation":"Solitude Arch","CurrentLocation":"Solitude Arch","Role":"Noble","OwnedItems":{"Elven Bow":1,"Gold Septim":5000,"Silver Ring":5},"Relations":[{"Target":"Dragonborn","Favorability":-30}]}},"Items":{"Elven Bow":{"Type":"Weapon","Name":"Elven Bow","NameSingular":"Elven Bow","IndefiniteArticle":"an"}},"Locations":{"Solitude Arch":{"Name":"Solitude Arch","Enemies":["Wolf","Vampire","Skeleton"]},"Riften Docks":{"Name":"Riften Docks","Enemies":["Skeever","Bandit","Frostbite Spider"]}},"Player":{"NPCRelations":[{"Target":"Brynjolf","Favorability":35},{"Target":"Elenwen","Favorability":-30}]}};{"Quest":{"Name":"A Taste for the Finer Things","Giver":"Brynjolf","Actions":["goto Solitude Arch","steal Elven Bow from Elenwen","goto Riften Docks","give Elven Bow to Brynjolf"]}};"Brynjolf has his eye on a beautiful Elven Bow in the possession of Elenwen, the Thalmor Ambassador in Solitude. He's not interested in its combat value, but its resale value. He needs a skilled hand to acquire it for the Guild.";"I've heard some interesting whispers about you, lad/lass. I have a little... procurement job. An Elven Bow, up in Solitude, belongs to a pointy-eared noble. It's just gathering dust. Let's put it to better use, shall we?";Steal stuff
{"NPCs":{"Aela the Huntress":{"Name":"Aela the Huntress","NamePossessive":"Aela the Huntress's","Species":"Human","HomeLocation":"Whiterun Hold","CurrentLocation":"Whiterun Hold","Faction":"The Companions","Role":"Ranger","Relations":[{"Target":"Dragonborn","Favorability":20},{"Target":"The Silver Hand","Favorability":-50}],"NPCLog":[{"Originator":"The Silver Hand","Type":"Ambush","Target":["Skjor"],"For":"Aela the Huntress"}]}},"Factions":{"The Silver Hand":{"Name":"The Silver Hand","DefaultLocation":"Markarth Depths","Relations":[{"Target":"Dragonborn","Favorability":-15},{"Target":"The Companions","Favorability":-50}]}},"Locations":{"Markarth Depths":{"Name":"Markarth Depths","Enemies":["Falmer","Chaurus","Forsworn"]}},"Player":{"NPCRelations":[{"Target":"Aela the Huntress","Favorability":20}]}};{"Quest":{"Name":"An Eye for an Eye","Giver":"Aela the Huntress","Actions":["goto Markarth Depths","kill The Silver Hand","goto Whiterun Hold","report Aela the Huntress"]}};"Aela has identified a high-ranking Silver Hand leader hiding out in the depths of Markarth. This is the one who ordered the raid that wounded Skjor. Aela wants revenge, and she trusts you to deliver it.";"My blood is boiling. We've found him. The cur who leads the Silver Hand dogs in the Reach. He's holed up in some old dwarven ruin. I'd go myself, but Kodlak wants me here. You've earned my trust. Take his head. Make sure he knows it was a Companion who sent you to oblivion.";Kill enemies
{"NPCs":{"Farengar Secret-Fire":{"Name":"Farengar Secret-Fire","NamePossessive":"Farengar Secret-Fire's","Species":"Human","HomeLocation":"Whiterun Hold","CurrentLocation":"Whiterun Hold","Role":"Wizard","OwnedItems":{"Grand Soul Gem":2,"Magicka Potion":5,"Staff of Frostbite":1},"Relations":[{"Target":"Dragonborn","Favorability":5}]}},"Locations":{"Bleak Falls Barrow":{"Name":"Bleak Falls Barrow","Enemies":["Draugr","Frostbite Spider","Skeleton"],"Resources":["Gold Septim","Daedric Artifact Shard"]}},"Enemies":{"Draugr":{"Name":"Draugr","Loot":["Gold Septim","Iron Sword"],"NamePlural":"Draugr"}},"Player":{"NPCRelations":[{"Target":"Farengar Secret-Fire","Favorability":5}]}};{"Quest":{"Name":"Clearing the Barrow","Giver":"Farengar Secret-Fire","Actions":["goto Bleak Falls Barrow","damage Draugr","goto Whiterun Hold","report Farengar Secret-Fire"]}};"Farengar is trying to study the ancient Nord burial site of Bleak Falls Barrow, but the Draugr within are too restless for him to get any real work done. He wants you to go and 'pacify' the primary chamber.";"Ah, yes. I have a task that requires a more... pragmatic touch. Bleak Falls Barrow is teeming with the dead. I need to study the wall carvings in the main hall, but I can't concentrate with all that shuffling and groaning. Clear them out, and I can finally get some work done.";Attack threatening entities
{"NPCs":{"Camilla Valerius":{"Name":"Camilla Valerius","NamePossessive":"Camilla Valerius's","Species":"Human","HomeLocation":"Morthal Swamp","CurrentLocation":"Morthal Swamp","Role":"Merchant","OwnedItems":{"Silver Ring":1,"Gold Septim":50},"Relations":[{"Target":"Dragonborn","Favorability":10},{"Target":"Sven","Favorability":15},{"Target":"Faendal","Favorability":15}]},"Sven":{"Name":"Sven","NamePossessive":"Sven's","Species":"Human","HomeLocation":"Morthal Swamp","CurrentLocation":"Morthal Swamp","Role":"Bard","Relations":[{"Target":"Dragonborn","Favorability":5},{"Target":"Camilla Valerius","Favorability":15},{"Target":"Faendal","Favorability":-10}]}},"Items":{"Silver Ring":{"Type":"Artifact","Name":"Silver Ring","NameSingular":"Silver Ring"}},"Locations":{"Morthal Swamp":{"Name":"Morthal Swamp","Enemies":["Frostbite Spider","Chaurus","Wisp"]}},"Player":{"NPCRelations":[{"Target":"Camilla Valerius","Favorability":10}]}};{"Quest":{"Name":"The Family Heirloom","Giver":"Camilla Valerius","Actions":["goto Morthal Swamp","take Silver Ring from Sven","goto Morthal Swamp","give Silver Ring to Camilla Valerius"]}};"Camilla's prized silver ring, a gift from her late mother, has gone missing. She suspects one of her two jealous suitors, Sven or Faendal, might have taken it to frame the other or just to have a piece of her.";"Oh, you must help me! My mother's silver ring... it's just vanished from my dresser. I know it sounds awful to say, but with Sven and Faendal always bickering... could one of them have taken it? Please, I just want it back.";Recover stolen item
{"Factions":{"The College of Winterhold":{"Name":"The College of Winterhold","NameDefinitive":"the College of Winterhold","DefaultLocation":"Winterhold Ruins","Relations":[{"Target":"Dragonborn","Favorability":5}],"Members":["Savos Aren","Mirabelle Ervine","Tolfdir","Faralda","J'zargo","Onmund","Brelyna Maryon","Enthir","Urag gro-Shub","Ancano"],"Treasury":{"Grand Soul Gem":12,"Staff of Frostbite":3,"Daedric Artifact Shard":2}}},"NPCs":{"Urag gro-Shub":{"Name":"Urag gro-Shub","NamePossessive":"Urag gro-Shub's","Species":"Orc","HomeLocation":"Winterhold Ruins","CurrentLocation":"Winterhold Ruins","Faction":"The College of Winterhold","Role":"Wizard","OwnedItems":{"Staff of Frostbite":1,"Grand Soul Gem":4,"Magicka Potion":10}}},"Locations":{"Winterhold Ruins":{"Name":"Winterhold Ruins","Resources":["Grand Soul Gem","Staff of Frostbite"]}},"Items":{"Daedric Artifact Shard":{"Type":"Artifact","Name":"Daedric Artifact Shard","NameSingular":"Daedric Artifact Shard"}},"Player":{"FactionRelations":[{"Target":"The College of Winterhold","Favorability":5}]}};{"Quest":{"Name":"The Arcaneum's Security","Giver":"The College of Winterhold","Actions":["goto Winterhold Ruins","defend Urag gro-Shub"]}};"Urag gro-Shub is expecting a rare and volatile delivery of Daedric Artifact Shards. He's worried that rogue elements, perhaps even someone within the College like Ancano, might try to intercept it. The College needs someone to stand guard while he catalogs the shards.";"This is a matter for someone with a strong arm and a closed mouth. Urag gro-Shub is receiving some highly sensitive materials. They are... unstable. We need you to ensure his work goes uninterrupted. No one gets in to see him. No one.";Guard entity
{"NPCs":{"Mikael":{"Name":"Mikael","NamePossessive":"Mikael's","Species":"Human","HomeLocation":"Whiterun Hold","CurrentLocation":"Whiterun Hold","Role":"Bard","Relations":[{"Target":"Dragonborn","Favorability":5},{"Target":"Carlotta Valentia","Favorability":-20}]},"Carlotta Valentia":{"Name":"Carlotta Valentia","NamePossessive":"Carlotta Valentia's","Species":"Human","HomeLocation":"Whiterun Hold","CurrentLocation":"Whiterun Hold","Role":"Merchant","Relations":[{"Target":"Dragonborn","Favorability":10},{"Target":"Mikael","Favorability":-20}]}},"Locations":{"Whiterun Hold":{"Name":"Whiterun Hold"}},"Player":{"NPCRelations":[{"Target":"Mikael","Favorability":5},{"Target":"Carlotta Valentia","Favorability":10}]}};{"Quest":{"Name":"The Skald's Satchel","Giver":"Mikael","Actions":["goto Whiterun Hold","damage Carlotta Valentia"]}};"Mikael is convinced Carlotta Valentia is in love with him and is just playing hard to get. He wants you to 'persuade' her to be more receptive, by which he means rough her up a bit to make her realize she needs a strong protector like him.";"She resists, but I see the fire in her eyes. Carlotta, I mean. She just needs a little... nudge. A scare. Make her think the world is a dangerous place, and then she'll come running to my arms. Just rough her up a bit, nothing permanent. She'll thank me for it later.";Attack enemy
